player_id,player_name,birth_date,birth_year,birth_city,birth_country,position,height,weight,mlb_debut_year,mlb_last_year,mlb_team_id
434378,Justin Verlander,1983-02-20,1983,Manakin-Sabot,USA,P,"6' 5""",240,2005,2026,116
445276,Kenley Jansen,1987-09-30,1987,Willemstad,Curacao,P,"6' 5""",265,2010,2026,116
453286,Max Scherzer,1984-07-27,1984,St. Louis,USA,P,"6' 3""",208,2008,2026,141
455119,Chris Martin,1986-06-02,1986,Arlington,USA,P,"6' 8""",224,2014,2026,102
471911,Carlos Carrasco,1987-03-21,1987,Barquisimeto,Venezuela,P,"6' 4""",224,2009,2026,431
472610,Luis García,1987-01-30,1987,Santo Domingo,Dominican Republic,P,"6' 2""",240,2013,2026,1960
489446,Kirby Yates,1987-03-25,1987,Lihue,USA,P,"5' 10""",205,2014,2026,108
500743,Miguel Rojas,1989-02-24,1989,Los Teques,Venezuela,2B,"5' 10""",188,2014,2026,119
500779,Jose Quintana,1989-01-24,1989,Arjona,Colombia,P,"6' 2""",224,2012,2026,115
518585,Fernando Cruz,1990-03-28,1990,Bayamon,Puerto Rico,P,"6' 2""",237,2022,2026,147
518876,Merrill Kelly,1988-10-14,1988,Houston,USA,P,"6' 2""",210,2019,2026,109
518886,Craig Kimbrel,1988-05-28,1988,Huntsville,USA,P,"6' 0""",215,2010,2026,139
519141,Drew Pomeranz,1988-11-22,1988,Memphis,USA,P,"6' 5""",246,2011,2026,451
519242,Chris Sale,1989-03-30,1989,Lakeland,USA,P,"6' 6""",180,2010,2026,144
527048,Martín Pérez,1991-04-04,1991,Guanare,Venezuela,P,"6' 0""",210,2012,2026,144
542888,Shawn Armstrong,1990-09-11,1990,New Bern,USA,P,"6' 2""",225,2015,2026,114
543037,Gerrit Cole,1990-09-08,1990,Newport Beach,USA,P,"6' 4""",220,2013,2026,147
543056,Danny Coulombe,1989-10-26,1989,St. Louis,USA,P,"5' 10""",190,2014,2026,111
543135,Nathan Eovaldi,1990-02-13,1990,Houston,USA,P,"6' 2""",217,2011,2026,140
543243,Sonny Gray,1989-11-07,1989,Smyrna,USA,P,"5' 10""",190,2013,2026,111
543309,Kyle Higashioka,1990-04-20,1990,Huntington Beach,USA,C,"6' 1""",202,2017,2026,140
543510,James McCann,1990-06-13,1990,Santa Barbara,USA,C,"6' 2""",235,2014,2026,109
544150,Albert Suárez,1989-10-08,1989,San Felix,Venezuela,P,"6' 3""",235,2016,2026,110
545121,Ildemaro Vargas,1991-07-16,1991,Caripito,Venezuela,1B,"5' 11""",202,2017,2026,109
547179,Michael Lorenzen,1992-01-04,1992,Anaheim,USA,P,"6' 1""",210,2015,2026,115
547184,Michael Kelly,1992-09-06,1992,Boynton Beach,USA,P,"6' 4""",185,2022,2026,133
547973,Aroldis Chapman,1988-02-28,1988,Holguin,Cuba,P,"6' 4""",235,2010,2026,111
548384,Brooks Raley,1988-06-29,1988,San Antonio,USA,P,"6' 3""",200,2012,2026,121
552640,Andrew Kittredge,1990-03-17,1990,Spokane,USA,P,"6' 1""",235,2017,2026,110
554430,Zack Wheeler,1990-05-30,1990,Smyrna,USA,P,"6' 4""",195,2013,2026,143
571510,Matthew Boyd,1991-02-02,1991,Mercer Island,USA,P,"6' 3""",223,2015,2026,112
