"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2257,645261,"Alcantara, Sandy",2257,100,0.249,0.134,0.283,0.383,0.302,0.301,0.253,143,575,87.6,11.2,2253,92.4,91.87,253,1157,1100,-0.5,6.04,112,149,112,148,300,326,299,"11.539","-11.539","69.9","7.2","2.275381746",625,464,102,22,2,17,115,18.4,39,6.2,2.17205,0.53311,0.72993,-0.23043,"91.6",152,35.791757049891544,5.639913232104121,4.16,5.92,-1.91,-0.14,2.24,0.303,26,"-0.511253877",0.307,0.375,"0.511253877",-0.004,-0.0040000000000000036,0.008,0.001,21.9,"33.5",8.278750129933787,0.09759765321061684,33.04959332382159,0.4911816578483245,37.20296100113241,28.911934903499212
2103,650911,"Sánchez, Cristopher",2103,100,0.256,0.112,0.338,0.368,0.293,0.285,0.239,139,544,89.2,2.5,2082,90.3,91.27,352,1081,1022,1,6.92,108,151,117,146,294,322,291,"14.469","-14.469","70.6","7.5","3.835348096",578,389,102,25,0,12,157,27.2,28,4.8,2.75002,0.07007,1.15772,-0.69761,"92.4",119,42.9305912596401,7.969151670951156,5.3633217993079585,6.04,1.95,0.05,1.9,0.296,31,"-0.688017118",0.281,0.369,"0.688017118",0.017,0.014999999999999958,-0.001,0.008,32.6,"31.0",12.063713872803254,-5.717283904350682,34.77446054840488,0.4825636192271442,37.8490333193305,32.13902379418097
2093,642547,"Peralta, Freddy",2094,100,0.264,0.185,0.315,0.448,0.344,0.303,0.235,120,455,87.1,15.5,2304,89.2,89.32,262,977,1116,0.09999999999999432,6.46,111,148,117,150,298,322,298,"-10.468","10.468","70.1","7.2","2.808567005",512,346,71,31,1,17,113,22.1,48,9.4,2.13626,0.78714,0.49311,-0.22254,"91.3",159,38.15028901734104,5.202312138728324,3.515625,5.21,-3.37,-0.22,2.27,0.339,18,"0.500143335",0.315,0.363,"-0.500143335",0.029,0.02400000000000002,0.085,0.041,26.8,"33.0",9.233425863806609,-1.5579083133120002,32.29993626686704,0.4871001031991744,37.77476693997849,30.989289160066832
2079,668909,"Williams, Gavin",2079,100,0.215,0.176,0.28,0.391,0.292,0.309,0.234,105,489,90.2,10.1,2273,91,91.84,318,1029,1050,0.7999999999999972,6.93,113,149,120,149,304,327,300,"4.918","-4.918","68.9","7.2","3.685413671",532,323,62,21,1,21,168,31.6,38,7.1,2.58267,0.22399,0.04564,0.02365,"92.1",156,48.297213622291025,11.455108359133128,6.954887218045112,5.88,-2.8,0.23,2.35,0.275,37,"-0.236556037",0.293,0.416,"0.236556037",-0.019,-0.01799999999999996,-0.025,-0.017,30.9,"32.0",8.643904996364526,0.3154679892589486,31.686641144689123,0.4563008130081301,37.109238013836574,29.07564171939827
2050,671737,"Bradley, Taj",2051,100,0.216,0.16,0.27,0.376,0.297,0.303,0.223,97,450,90.7,15.8,2172,92.8,93.09,257,967,1083,0.29999999999999716,6.46,112,148,117,149,295,325,294,"3.541","-3.541","70.1","7.2","2.977960232",504,314,59,21,0,17,139,27.6,49,9.7,1.86202,0.80777,0.26707,-0.16594,"91.8",167,45.54140127388535,9.872611464968154,6.15079365079365,6.15,-1.17,0,2.27,0.294,31,"-0.172731707",0.303,0.377,"0.172731707",-0.007,-0.009000000000000008,-0.001,-0.006,26.6,"56.3",8.882996648957045,-0.5444244512585312,31.75101956273715,0.5,37.199256664969575,29.240461783092876
2049,672282,"Detmers, Reid",2051,99.9,0.214,0.149,0.272,0.364,0.281,0.286,0.22,99,462,89.6,17.9,2236,88.1,87.92,292,1007,1042,-0.19999999999998863,6.34,110,151,117,149,306,328,299,"11.439","-11.439","69.7","7.3","3.236893961",513,325,62,20,2,15,145,28.3,38,7.4,2.51022,0.51221,0.2683,-0.1733,"91.6",163,38.15384615384615,8,5.0682261208577,6.02,1.84,-0.08,2.31,0.276,26,"-0.558272328",0.283,0.364,"0.558272328",-0.006,-0.006999999999999951,0,-0.005,29,"41.3",9.326102537785992,-2.0674386728915253,31.59439972840384,0.4887295081967213,36.66838127616542,30.17152165506682
2046,592332,"Gausman, Kevin",2048,99.9,0.253,0.149,0.31,0.402,0.308,0.307,0.247,119,470,87.1,14.9,2008,89.2,89.75,278,1028,1018,0.5999999999999943,6.71,111,148,117,150,290,321,294,"5.469","-5.469","69.9","7.3","3.718270395",515,356,82,19,3,15,123,23.9,35,6.8,1.99812,0.9072,0.90061,-0.22483,"91.7",165,38.87323943661972,7.887323943661972,5.436893203883495,5.77,-2.44,-0.15,1.95,0.305,28,"-0.267302053",0.3,0.402,"0.267302053",0.006,0.0050000000000000044,0,0.001,27,"37.3",9.458469779307151,-3.1450619176128582,33.92938644534464,0.36773547094188375,36.582534308387054,30.495196677534267
2042,667755,"Soriano, José",2047,99.8,0.217,0.103,0.276,0.321,0.287,0.321,0.242,97,446,88.2,6.6,2060,92.6,93.33,296,942,1100,0.7000000000000028,6.78,111,149,115,150,303,329,301,"15.187","-15.187","70.1","7.4","4.309016768",511,323,75,10,0,12,127,24.9,57,11.2,2.46505,0.2238,0.47592,-0.18791,"91.8",133,37.69470404984423,8.09968847352025,5.088062622309197,5.75,-2.34,-0.03,1.93,0.311,26,"-0.743731636",0.334,0.384,"0.743731636",-0.025,-0.02300000000000002,-0.063,-0.034,31.4,"34.2",10.536550234828411,-2.296656932715207,33.959230308055666,0.5482123510292525,37.7565956966552,31.18011441063822
2037,671096,"Abbott, Andrew",2037,100,0.243,0.153,0.269,0.396,0.317,0.334,0.258,108,444,88.6,15.5,2448,87.4,87.68,217,947,1090,0.29999999999999716,6.51,108,150,114,148,296,321,288,"-1.392","1.392","70.0","7.2","4.345217614",505,355,75,15,1,17,94,18.6,54,10.7,2.33023,0.69361,0.13356,-0.29931,"91.7",171,39.884393063583815,7.514450867052023,5.148514851485149,6.03,2.47,0.16,2.16,0.322,26,"0.068335788",0.337,0.423,"-0.068335788",-0.015,-0.015000000000000013,-0.027,-0.017,22.9,"51.2",9.324789810053382,0.9627490531729602,32.47217630803158,0.47413793103448276,38.44592468672662,29.978682653198735
2031,666200,"Luzardo, Jesús",2031,100,0.229,0.115,0.314,0.344,0.287,0.263,0.204,105,459,86.1,6.6,2199,90.7,89.43,298,938,1093,-1.2999999999999972,5.67,108,149,117,146,292,322,292,"16.771","-16.771","69.2","7.3","4.494866537",509,311,75,18,1,11,152,29.9,38,7.5,2.43151,0.38686,0.49306,-0.32807,"91.1",135,31.3915857605178,5.501618122977346,3.3398821218074657,5.71,2.54,-0.18,2.07,0.297,17,"-0.825750862",0.277,0.3,"0.825750862",0.025,0.019999999999999962,0.044,0.024,31.8,"30.3",10.199473028995035,-4.152996568870709,33.10712810498419,0.43681917211328974,36.55507960411299,31.48961272569392
