"last_name, first_name","player_id","year","player_age","k_percent","bb_percent","in_zone_percent","whiff_percent","groundballs_percent","flyballs_percent","popups_percent","pitch_hand","arm_angle","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break_z_induced","ff_avg_break","ff_range_speed","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break_z_induced","sl_avg_break","sl_range_speed","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break_z_induced","ch_avg_break","ch_range_speed","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break_z_induced","cu_avg_break","cu_range_speed","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break_z_induced","si_avg_break","si_range_speed","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break_z_induced","fc_avg_break","fc_range_speed","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break_z_induced","fs_avg_break","fs_range_speed","n_kn_formatted","kn_avg_speed","kn_avg_spin","kn_avg_break_x","kn_avg_break_z","kn_avg_break_z_induced","kn_avg_break","kn_range_speed","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break_z_induced","st_avg_break","st_range_speed","n_sv_formatted","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z","sv_avg_break_z_induced","sv_avg_break","sv_range_speed","n_fo_formatted","fo_avg_speed","fo_avg_spin","fo_avg_break_x","fo_avg_break_z","fo_avg_break_z_induced","fo_avg_break","fo_range_speed","n_sc_formatted","sc_avg_speed","sc_avg_spin","sc_avg_break_x","sc_avg_break_z","sc_avg_break_z_induced","sc_avg_break","sc_range_speed"
"Webb, Logan",657277,2026,29,19.1,5.9,46.5,20.5,52.5,19.2,4.8,"R",20.9,"12.7","92.3","2084","-7.7","-22","9.9","12.7","1.1",,,,,,,,,"24.9","85.9","1481","-10","-42.1","-5.3","11.6","1.2",,,,,,,,,"29.7","92.1","1946","-15.5","-32","0.3","15.7","1.1","13.3","89.7","2313","-0.8","-26.8","6.8","7.1","1.3",,,,,,,,,,,,,,,,,"19.4","84.1","2605","14.3","-37.6","1.1","14.6","1.2",,,,,,,,,,,,,,,,,,,,,,,,
"Gore, MacKenzie",669022,2026,27,26.1,8.6,47.4,26.4,39.1,26.2,7.7,"L",47.7,"45.9","95.4","2244","6.6","-13.9","16.3","17.7","1.1","10","85.7","2085","-4.4","-34.7","2.8","6.8","1.5","11.9","86.5","1961","13.2","-26.6","10.1","16.8","1.3","19","81.7","2268","-3.3","-52.5","-11.4","12.1","1.6","5.6","95.2","2124","13.5","-16.4","13.9","19.5","1.2","7.7","89.9","1928","-1.5","-26.1","7.6","7.9","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cameron, Noah",702070,2026,26,21.4,7.6,47.3,25.9,40.5,24.7,6.2,"L",52.4,"25.9","92.5","2323","6.2","-14.9","17","18.2","1.4","11.3","85.1","2499","-2.9","-35","2.7","4.8","1.7","21.2","81","1638","12.6","-32","9.8","16.1","2.2","17.2","81.9","2304","-3.8","-50.1","-9.3","10.4","2.1","3.9","91.5","2262","12.6","-20.8","11.7","17.4","1.3","20.5","89.8","2350","-2.5","-24.7","9.1","9.6","1.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bibee, Tanner",676440,2026,27,19.5,6.8,50.3,24.2,38.4,27.2,9.6,"R",54.7,"22.1","94","2155","-5","-15","16","16.9","1.1",,,,,,,,,"14.6","81.1","1875","-12","-28.3","13.4","18.2","1.5","10.8","77.9","2574","14.7","-53.5","-8","17","1.8","23.2","93.3","2137","-14.6","-22.3","9.2","17.4","1.3","24.5","85.9","2665","6.9","-34.5","2.6","8.2","1.6",,,,,,,,,,,,,,,,,"4.8","82.6","2631","16.8","-40.4","0","17.1","1.6",,,,,,,,,,,,,,,,,,,,,,,,
"Kelly, Merrill",518876,2026,37,15.1,9.8,42.7,21.3,41.9,26.8,5,"R",23.6,"26.9","92.1","2366","-9.6","-17.9","14.5","17.4","1.4","10.1","86.4","2303","1.5","-32.4","4","4.8","1.2","27.4","88.4","2164","-15.1","-34.8","0.2","15.2","1.4","12","82.5","2569","7.2","-48.5","-8.4","11.2","1.6","9.8","92.3","2240","-16.6","-25.7","6.5","17.9","1.4","13.9","91","2366","-4","-20.4","12.5","13.3","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Montero, Keider",672456,2026,25,17.5,5.7,53.4,19.2,41.6,25.2,13.4,"R",42.6,"30.5","94.3","2231","-6","-14.4","16.4","17.6","1.3","19","85.9","2572","6.4","-35.1","2","7.3","1.6","14","86.9","2004","-15.1","-27.1","9","17.7","1.2","13.8","80.4","2863","11.1","-49.3","-6.9","13.4","1.5","22.8","94.7","2237","-15.3","-19.2","11.4","19.2","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rasmussen, Drew",656876,2026,30,26.3,4.5,49.4,25.3,44.6,22.7,7.9,"R",52.6,"29.2","95.9","2513","-4.4","-12.2","17.7","18.3","1",,,,,,,,,"12.2","89.9","1214","-12","-31.3","2.8","13","1.1","4","80.3","2607","4.7","-55.3","-12.5","13.6","1.7","22.8","95.4","2417","-16.2","-17.7","12.5","20.6","1","29.3","90","2643","4.5","-29.8","3.9","6.7","1.7",,,,,,,,,,,,,,,,,"2.7","84.5","2496","12.5","-38.9","-0.5","12.8","1.3",,,,,,,,,,,,,,,,,,,,,,,,
"McLean, Nolan",690997,2026,24,28,8.8,47.9,24.8,46,24,5.5,"R",30.9,"21","96.1","2330","-11.7","-15.9","13.9","18.3","1.2","2.1","86.5","2950","9.6","-31.8","4.8","11.1","1.7","6.2","88.1","1228","-12.5","-38.1","-2.5","13.2","1.7","14.5","81.9","3358","17.4","-55.1","-13.3","22","1.9","32.5","95.1","2206","-17.7","-25.3","5.2","18.5","1.4","10.1","92","2544","0.9","-25.6","6.6","6.9","1.6",,,,,,,,,,,,,,,,,"13.6","84.9","3009","18.6","-40","-1.5","18.9","1.6",,,,,,,,,,,,,,,,,,,,,,,,
"Messick, Parker",800048,2026,25,25.1,7,47.5,25.6,45,21.3,11.7,"L",42.1,"38.1","94.2","2165","5.3","-14.2","16.6","17.6","1.6","4.8","86.8","2348","-5.9","-31.8","4.3","7.9","1.6","23.7","85.8","1847","14.9","-35.4","1.8","15.1","1.4","10.2","79.2","2285","-14","-49.9","-6","15.4","1.5","16.6","92.6","2053","13.1","-21.6","10.2","16.7","1.4","6.6","90.5","2154","-2.5","-23.4","9.8","10.4","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alcantara, Sandy",645261,2026,30,19,6.2,51.1,22,44.1,23.9,8.7,"R",33.4,"19.5","97.5","2248","-12.7","-15.5","13.5","18.6","1.3","6.7","85.1","2353","4.9","-35.3","2.9","6.5","1.5","20.5","90.9","2088","-17","-30.7","2.5","17.3","1.2","3.4","83.3","2421","4","-42.5","-3.1","5.3","1.8","26.3","97.3","2292","-17.2","-20.8","8.3","19.2","1.3","14.6","90","2204","1.1","-27.8","5.9","6.3","1.4",,,,,,,,,,,,,,,,,"8.9","84.3","2373","12.2","-37.9","0.9","12.6","1.5",,,,,,,,,,,,,,,,,,,,,,,,
